Idade,Renda Mensal,Historico de Credito,Historico de Emprego,Aprovado
64,1761.6476447587097,0,0,0
54,1222.343247464839,1,1,0
37,8492.703321066001,1,0,0
32,4266.24285840182,1,1,1
25,2691.6612569275644,0,1,0
55,5319.140732762151,1,1,1
55,4218.523398829881,1,1,0
28,8403.435176798946,0,0,0
51,4361.120909824281,0,0,1
34,6805.727584808234,0,1,0
44,7996.3754082286505,0,1,0
45,7106.460412008508,1,1,1
20,8842.805004091124,0,1,0
59,8727.578869958004,0,1,1
51,3703.657785651546,1,0,0
60,4734.650337994994,1,1,1
36,2714.2637586775136,1,1,0
40,8475.065864142893,0,1,1
45,2769.608777187994,0,0,0
19,4454.023374934536,1,0,0
62,1957.9708367773253,1,1,0
44,9740.53348897518,1,0,0
63,6884.0451632005625,0,1,0
28,5322.616575016404,0,1,0
41,6444.526599317461,0,0,0
33,8862.236697344564,0,1,0
31,7391.755043430605,1,0,0
33,6705.318334574459,0,1,1
36,2215.6248255115224,0,0,0
22,1244.8386441801867,0,0,1
69,8486.821595335969,0,0,0
60,5679.281001118109,1,1,1
45,1634.1862585121517,0,0,0
31,1323.059980616676,0,0,1
65,6822.647535842777,0,0,1
40,9235.603455987697,0,0,1
69,2460.084104574613,0,0,1
23,7658.874493297477,1,1,0
51,5790.583588269571,0,0,0
41,3876.198650408636,0,0,1
69,8775.982549268901,0,1,1
21,8499.932631237389,0,0,1
38,4739.537494433014,1,1,1
67,2491.098925045222,0,1,1
42,4761.374254601078,1,0,1
64,8429.144542308168,0,0,0
31,9287.782454996295,1,0,0
59,8186.863430021907,1,0,0
54,4588.688862536943,1,0,1
36,9208.777782790445,0,1,1
54,5462.635001797673,0,1,0
18,6518.855580137048,1,0,0
62,9531.94389079794,1,0,0
66,9270.795197912554,1,0,0
62,5778.5901216538205,1,0,0
33,1151.4241139066971,0,1,1
35,8582.44479183599,1,1,0
30,4178.788652531826,0,0,1
37,2104.163079579143,1,1,0
45,8657.60687358538,1,1,1
38,8632.393814001984,1,1,1
35,6781.738471749605,1,0,1
64,9889.456182828357,0,0,1
59,7629.282492104544,1,0,0
46,3913.293163642476,1,0,1
28,9837.920900097659,0,0,1
47,3209.38976919831,0,1,0
40,8792.185748650465,1,1,0
47,8104.345687625831,1,0,1
39,9922.040012128415,0,1,1
32,1660.5358716131434,1,0,1
38,1323.9435623581574,0,1,0
62,6666.804903718556,1,0,1
46,3695.5506445724986,0,1,1
36,8320.040738780517,0,1,0
64,1469.4093357639815,0,0,0
66,2840.5636783594496,1,1,0
25,8881.10867255734,0,0,0
43,1156.262910029371,0,1,0
44,3213.0656394941725,1,1,1
38,2900.818226732147,1,1,0
27,7642.328157997333,1,1,0
46,5045.347342413935,0,0,1
25,5977.448371797168,1,1,0
35,9632.181747126311,0,0,1
31,8035.911628893494,0,1,0
65,1858.1847106382143,0,0,1
47,4374.853279483837,1,0,1
30,6268.019883574485,1,1,0
31,5694.296054119885,1,1,0
59,4086.9641847446132,1,0,0
63,4366.553891386797,0,1,1
42,5356.294647703817,0,0,1
24,2323.576466200947,1,0,0
63,6865.7541120799015,0,0,1
34,6296.94569679907,0,0,0
62,6687.609275188076,1,1,1
29,3981.912350125556,1,1,0
57,2866.107293828641,0,1,1
39,3802.144087085764,0,0,1
48,7052.909432382019,0,0,0
68,6987.175439691974,1,0,1
63,9276.457991654053,0,1,0
47,7284.969473227495,0,0,0
48,5944.038113167675,1,1,0
61,3695.9780943732594,1,0,0
33,6276.087877573457,0,1,1
63,2417.6547811712267,1,1,0
60,6393.320068332375,0,0,0
24,2840.26159799123,0,0,0
37,9348.882560056536,1,1,0
67,4319.799195407876,0,0,0
44,2757.7360807269683,1,0,0
59,2911.0662976659687,1,0,0
40,9547.179903247006,0,1,0
51,7991.909734469408,0,0,0
25,6294.67511946219,0,1,0
38,9913.061205657958,0,1,1
44,9362.006108760721,0,0,1
44,4914.415044879308,0,0,1
43,5191.927492225761,1,1,0
64,2431.0306518803322,0,0,0
32,1441.376698876982,0,0,0
22,6938.455736469033,1,0,1
66,1724.502872181122,1,1,1
49,7370.174854281833,1,1,1
44,1628.2678431462766,1,0,1
21,6219.2117540887675,1,0,0
69,6715.260158944815,1,1,1
18,7756.892503649402,1,1,1
45,5245.689465072988,1,1,1
26,3464.3031126678984,1,1,0
35,3518.4482606169536,0,0,1
30,1555.4517237529292,0,1,1
35,4669.210758354862,1,0,0
31,3356.8253167606563,1,1,1
50,7481.067862508419,1,1,1
50,4968.802575373047,0,0,1
24,6652.547361076325,0,1,0
25,8892.179758611353,1,0,1
19,8194.132704798038,1,1,1
44,2368.5167778778396,1,1,0
30,6849.058330162468,0,0,0
32,4163.383730325651,0,0,0
51,6764.480127566929,0,0,1
53,6635.641521269555,1,1,0
63,2380.9319247521657,0,1,1
27,3441.4432452571423,0,1,0
20,3588.848412412885,1,0,0
61,9415.310867928947,0,1,1
69,6541.864004578993,1,0,0
44,2107.2107158712956,0,1,1
19,2168.0135991382867,0,1,0
65,7244.523254678275,1,1,0
45,8865.049573728944,1,1,0
29,4165.188829788183,1,1,1
18,1114.13174330082,1,0,0
42,6267.970375096861,1,0,1
23,6211.240240958921,1,1,1
18,3389.256182033733,1,0,1
47,6417.056425274836,0,0,0
51,2173.3796139158126,0,0,1
29,2222.062263288609,0,0,1
20,5559.616897545911,0,0,1
46,5755.459534029551,1,0,1
27,5269.686190311271,0,1,1
28,8691.360843063718,1,0,1
18,1302.2204480954342,0,1,1
35,9287.619200841287,0,1,1
61,2991.073855007187,0,1,0
20,7708.289410725669,0,0,0
22,3058.7417061168067,1,1,0
36,6059.160846750321,0,1,0
28,7524.652479078156,0,0,0
43,9693.493692043168,0,1,1
67,6338.2492513643965,1,1,0
25,9875.756808011029,1,1,0
28,4442.814724124867,0,1,1
51,5984.230839394892,0,0,0
62,4979.229533592917,1,0,1
65,4765.266117598701,1,0,0
28,4085.8106211461745,1,0,0
28,4355.74417809844,1,1,1
54,3731.8184159684943,1,0,1
18,3670.972990543084,1,1,1
60,8487.670474134298,1,1,1
55,2767.9935023966455,0,0,0
33,5991.35076975648,1,0,1
24,1211.1132089817295,1,0,0
18,9881.98486233697,0,1,1
23,7956.491008635858,1,1,1
56,9300.087044505466,1,0,1
42,4893.890011600717,0,0,1
30,5256.881349126198,1,1,1
53,3426.326485235956,0,1,1
49,9724.441444936603,1,0,1
32,8042.341371143752,1,0,1
45,1353.78696356269,1,0,1
59,4236.251092569911,1,0,0
58,8226.630872303416,1,1,0
59,7841.1154681402695,0,0,1
38,8854.558442023332,1,1,0
53,5155.019488127348,1,0,1
29,1940.794058632724,0,0,0
58,1192.8267100333842,0,1,1
66,7290.508555345301,1,0,1
45,2123.7318628983294,0,0,0
57,3311.7329659885404,0,0,0
49,1880.0727121292823,0,1,1
56,8939.36669983275,0,0,1
68,4139.134700123963,0,1,1
24,9712.807709714072,1,0,1
50,2037.2732267796403,0,1,0
61,9313.19262493597,0,1,0
26,7427.828284151256,1,0,0
69,7050.83218299236,0,1,1
59,7217.251218992072,1,1,1
21,7752.418648641941,0,0,1
32,8999.549367737305,1,0,1
60,8311.685867569986,1,1,1
62,1115.7854038333908,0,0,1
32,7693.334905287208,0,1,0
68,2465.5346055216896,0,1,1
58,1448.1071000889117,0,0,1
69,2820.794183582665,0,1,0
27,1652.3943095186094,1,1,0
50,8565.920670714913,0,0,1
28,7424.628216765796,1,1,1
45,2827.7523135916745,0,1,1
63,1904.8033222310296,1,0,1
59,8718.946389042248,1,0,0
37,2407.020242057439,1,1,0
19,1104.8150452225339,0,1,1
59,4009.7643627625816,1,1,1
37,6828.181864201094,0,1,0
32,2615.1104901765384,0,0,1
